Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
1,Kareem Abdul-Jabbar,32,LAL,147,147,221,0.665,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,1979-80
2,Julius Erving,29,PHI,31.5,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,1979-80
3,George Gervin,27,SAS,19,19,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,0.173,1979-80
4,Larry Bird,23,BOS,15,15,221,0.068,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,1979-80
5T,Tiny Archibald,31,BOS,2,2,221,0.009,80,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148,1979-80
5T,Dennis Johnson,25,SEA,2,2,221,0.009,81,36.3,19,5.1,4.1,1.8,1,0.422,0.207,0.78,7.4,0.12,1979-80
5T,Dan Roundfield,26,ATL,2,2,221,0.009,81,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,0.169,1979-80
8,Gus Williams,26,SEA,1.5,1.5,221,0.007,82,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187,1979-80
9,Moses Malone,24,HOU,1,1,221,0.005,82,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,0.183,1979-80
