Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Harrison Barnes\barneha02,PF,27,SAC,65,2267,13.3,.577,.342,.344,3.0,12.8,7.8,9.8,0.9,0.4,9.0,17.4,,3.2,1.1,4.3,.091,,0.0,-1.2,-1.2,0.5
27,RJ Barrett\barrerj01,SG,19,NYK,56,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.8,-1.5,-4.3,-1.0
28,Will Barton\bartowi01,SF,29,DEN,58,1916,15.6,.549,.390,.180,4.4,16.9,10.6,16.1,1.6,1.4,9.9,20.0,,2.4,2.1,4.5,.111,,1.2,-0.1,1.2,1.5
29,Keita Bates-Diop\bateske01,SF,24,TOT,40,667,12.6,.541,.452,.332,3.2,15.0,8.9,6.5,1.3,2.6,5.5,15.6,,0.6,0.5,1.1,.081,,-0.8,0.0,-0.8,0.2
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,646,12.5,.535,.456,.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,.076,,-0.8,-0.1,-0.9,0.2
29,Keita Bates-Diop\bateske01,SF,24,DEN,3,21,16.8,.931,.000,2.000,0.0,10.6,5.3,0.0,2.4,4.4,0.0,7.8,,0.1,0.0,0.1,.226,,0.2,1.9,2.1,0.0
30,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.7,0.9,-1.9,0.0
31,Aron Baynes\baynear01,C,33,PHO,42,934,15.1,.581,.441,.197,8.3,20.2,14.1,11.0,0.5,2.1,10.8,21.1,,1.3,0.7,2.0,.104,,-0.2,-0.9,-1.1,0.2
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,65,1627,9.4,.499,.459,.284,1.7,17.3,9.5,7.5,2.1,2.1,13.3,17.2,,-0.8,1.5,0.7,.021,,-3.4,0.5,-2.9,-0.4
32,Kent Bazemore\bazemke01,SF,30,POR,43,1111,7.6,.475,.525,.221,1.2,14.6,8.0,7.1,1.9,2.4,14.4,16.0,,-1.0,0.9,-0.1,-0.005,,-3.6,0.4,-3.2,-0.3
32,Kent Bazemore\bazemke01,SG,30,SAC,22,516,13.2,.540,.339,.401,2.8,23.1,12.7,8.2,2.5,1.5,11.5,19.8,,0.2,0.7,0.9,.079,,-2.9,0.6,-2.3,0.0
33,Darius Bazley\bazleda01,PF,19,OKC,54,938,8.3,.483,.436,.199,2.6,20.8,12.0,4.2,1.0,3.3,13.8,14.0,,-0.8,1.3,0.5,.024,,-3.0,0.7,-2.3,-0.1
34,Bradley Beal\bealbr01,SG,26,WAS,57,2053,23.1,.579,.369,.351,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,,4.6,0.5,5.1,.119,,5.3,-2.4,2.9,2.5
35,Malik Beasley\beaslma01,SG,23,TOT,55,1209,12.7,.546,.517,.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,,0.4,0.9,1.3,.052,,-0.7,-1.3,-2.0,0.0
35,Malik Beasley\beaslma01,SG,23,DEN,41,746,10.5,.511,.535,.126,1.3,10.2,5.8,9.1,2.1,0.7,10.2,20.6,,-0.2,0.7,0.6,.035,,-2.2,-0.6,-2.8,-0.2
35,Malik Beasley\beaslma01,SG,23,MIN,14,463,16.2,.591,.494,.120,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,,0.6,0.2,0.8,.079,,1.8,-2.4,-0.6,0.2
36,Marco Belinelli\belinma01,SG,33,SAS,53,794,10.4,.523,.571,.175,0.5,11.8,6.2,11.2,0.7,0.1,5.1,17.1,,0.5,0.1,0.7,.040,,-1.0,-1.8,-2.8,-0.2
