,,,,Voting,,,,,Per Game,,,,,,Shooting,,,Advanced,
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Ben Simmons,21,PHI,90,481,505,0.952,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162
2,Donovan Mitchell,21,UTA,11,323,505,0.64,79,33.4,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,5.2,0.095
3,Jayson Tatum,19,BOS,0,101,505,0.2,80,30.5,13.9,5,1.6,1,0.7,0.475,0.434,0.826,7.1,0.139
4,Kyle Kuzma,22,LAL,0,3,505,0.006,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.366,0.707,3.8,0.077
5,Dennis Smith,20,DAL,0,1,505,0.002,69,29.7,15.2,3.8,5.2,1,0.3,0.395,0.313,0.694,-0.7,-0.017
